"","country","Frequency","Sector","Incident","Date"
"1","Afghanistan",0,"Aid Workers","arrested","2017"
"2","Angola",0,"Aid Workers","arrested","2017"
"3","Azerbaijan",0,"Aid Workers","arrested","2017"
"4","Bangladesh ",2,"Aid Workers","arrested","2017"
"5","Burkina Faso",0,"Aid Workers","arrested","2017"
"6","Burundi",1,"Aid Workers","arrested","2017"
"7","Cambodia",0,"Aid Workers","arrested","2017"
"8","Cameroon",0,"Aid Workers","arrested","2017"
"9","CAR",0,"Aid Workers","arrested","2017"
"10","Chad",1,"Aid Workers","arrested","2017"
"11","China",0,"Aid Workers","arrested","2017"
"12","Colombia",0,"Aid Workers","arrested","2017"
"13","Djibouti",1,"Aid Workers","arrested","2017"
"14","DRC",3,"Aid Workers","arrested","2017"
"15","Equatorial Guinea",1,"Aid Workers","arrested","2017"
"16","Ecuador",0,"Aid Workers","arrested","2017"
"17","Egypt",0,"Aid Workers","arrested","2017"
"18","El Salvador",0,"Aid Workers","arrested","2017"
"19","Ethiopia",4,"Aid Workers","arrested","2017"
"20","France",0,"Aid Workers","arrested","2017"
"21","Ghana",0,"Aid Workers","arrested","2017"
"22","Greece",0,"Aid Workers","arrested","2017"
"23","Guatemala",0,"Aid Workers","arrested","2017"
"24","Guinea",0,"Aid Workers","arrested","2017"
"25","Haiti",0,"Aid Workers","arrested","2017"
"26","Honduras",0,"Aid Workers","arrested","2017"
"27","India",0,"Aid Workers","arrested","2017"
"28","Indonesia",0,"Aid Workers","arrested","2017"
"29","Iraq / KRI",2,"Aid Workers","arrested","2017"
"30","Israel",2,"Aid Workers","arrested","2017"
"31","Jordan",2,"Aid Workers","arrested","2017"
"32","Kenya",4,"Aid Workers","arrested","2017"
"33","Lebanon",3,"Aid Workers","arrested","2017"
"34","Liberia",0,"Aid Workers","arrested","2017"
"35","Libya",0,"Aid Workers","arrested","2017"
"36","Madagascar",0,"Aid Workers","arrested","2017"
"37","Malawi",0,"Aid Workers","arrested","2017"
"38","Malaysia",1,"Aid Workers","arrested","2017"
"39","Mali",2,"Aid Workers","arrested","2017"
"40","Mauritania",0,"Aid Workers","arrested","2017"
"41","Mexico",0,"Aid Workers","arrested","2017"
"42","Mongolia",0,"Aid Workers","arrested","2017"
"43","Mozambique",0,"Aid Workers","arrested","2017"
"44","Myanmar",0,"Aid Workers","arrested","2017"
"45","Nepal",1,"Aid Workers","arrested","2017"
"46","Nicaragua",0,"Aid Workers","arrested","2017"
"47","Niger",1,"Aid Workers","arrested","2017"
"48","Nigeria",1,"Aid Workers","arrested","2017"
"49","OPT/JWG",0,"Aid Workers","arrested","2017"
"50","Pakistan",0,"Aid Workers","arrested","2017"
"51","Peru",0,"Aid Workers","arrested","2017"
"52","Philippines",0,"Aid Workers","arrested","2017"
"53","PNG",2,"Aid Workers","arrested","2017"
"54","Senegal",1,"Aid Workers","arrested","2017"
"55","Sierra Leone",0,"Aid Workers","arrested","2017"
"56","Solomon Islands",0,"Aid Workers","arrested","2017"
"57","Somalia ",3,"Aid Workers","arrested","2017"
"58","South Africa",1,"Aid Workers","arrested","2017"
"59","South Sudan",13,"Aid Workers","arrested","2017"
"60","Sri Lanka",0,"Aid Workers","arrested","2017"
"61","Sudan",1,"Aid Workers","arrested","2017"
"62","Syria",1,"Aid Workers","arrested","2017"
"63","Tanzania",1,"Aid Workers","arrested","2017"
"64","Turkey",8,"Aid Workers","arrested","2017"
"65","Uganda",0,"Aid Workers","arrested","2017"
"66","Ukraine",0,"Aid Workers","arrested","2017"
"67","Vanuatu",0,"Aid Workers","arrested","2017"
"68","Yemen",13,"Aid Workers","arrested","2017"
"69","Zambia",0,"Aid Workers","arrested","2017"
"70","Zimbabwe",0,"Aid Workers","arrested","2017"
"71","Afghanistan",4,"Aid Workers","kidnapped","2017"
"72","Angola",0,"Aid Workers","kidnapped","2017"
"73","Azerbaijan",0,"Aid Workers","kidnapped","2017"
"74","Bangladesh ",1,"Aid Workers","kidnapped","2017"
"75","Burkina Faso",0,"Aid Workers","kidnapped","2017"
"76","Burundi",0,"Aid Workers","kidnapped","2017"
