"","country","Sector","Incident","Frequency","Date"
"1","Afghanistan","Education","killed",1,"2017"
"2","Afghanistan","Education","killed",0,"2017"
"3","India","Education","killed",0,"2017"
"4","Nigeria","Education","killed",0,"2017"
"5","Nigeria","Education","killed",0,"2017"
"6","Nigeria","Education","killed",0,"2017"
"7","Syria","Education","killed",0,"2017"
"8","Syria","Education","killed",0,"2017"
"9","Syria","Education","killed",0,"2017"
"10","Syria","Education","killed",0,"2017"
"11","Syria","Education","killed",0,"2017"
"12","Syria","Education","killed",0,"2017"
"13","Syria","Education","killed",0,"2017"
"14","Syria","Education","killed",0,"2017"
"15","Syria","Education","killed",0,"2017"
"16","Syria","Education","killed",0,"2017"
"17","Syria","Education","killed",0,"2017"
"18","Syria","Education","killed",0,"2017"
"19","Syria","Education","killed",0,"2017"
"20","Syria","Education","killed",0,"2017"
"21","Syria","Education","killed",0,"2017"
"22","Syria","Education","killed",0,"2017"
"23","Syria","Education","killed",0,"2017"
"24","Afghanistan","Education","killed",0,"2017"
"25","Angola","Education","killed",0,"2017"
"26","Iran","Education","killed",0,"2017"
"27","Nigeria","Education","killed",0,"2017"
"28","Pakistan","Education","killed",0,"2017"
"29","Pakistan","Education","killed",0,"2017"
"30","Sudan","Education","killed",0,"2017"
"31","Syria","Education","killed",0,"2017"
"32","Syria","Education","killed",0,"2017"
"33","Syria","Education","killed",0,"2017"
"34","Syria","Education","killed",0,"2017"
"35","Syria","Education","killed",0,"2017"
"36","Syria","Education","killed",0,"2017"
"37","Syria","Education","killed",0,"2017"
"38","Syria","Education","killed",0,"2017"
"39","Syria","Education","killed",0,"2017"
"40","Syria","Education","killed",0,"2017"
"41","Syria","Education","killed",0,"2017"
"42","Syria","Education","killed",0,"2017"
"43","Syria","Education","killed",0,"2017"
"44","Syria","Education","killed",0,"2017"
"45","Syria","Education","killed",0,"2017"
"46","Ukraine","Education","killed",0,"2017"
"47","Afghanistan","Education","killed",0,"2017"
"48","Brazil","Education","killed",0,"2017"
"49","Burkina Faso","Education","killed",1,"2017"
"50","Pakistan","Education","killed",0,"2017"
"51","Pakistan","Education","killed",0,"2017"
"52","Pakistan","Education","killed",0,"2017"
"53","Philippines","Education","killed",0,"2017"
"54","DRC","Education","killed",0,"2017"
"55","Greece","Education","killed",0,"2017"
"56","India","Education","killed",0,"2017"
"57","Nigeria","Education","killed",0,"2017"
"58","Nigeria","Education","killed",0,"2017"
"59","Nigeria","Education","killed",0,"2017"
"60","Pakistan","Education","killed",1,"2017"
"61","Somalia","Education","killed",1,"2017"
"62","Somalia","Education","killed",0,"2017"
"63","South Africa","Education","killed",0,"2017"
"64","South Sudan","Education","killed",0,"2017"
"65","Syria","Education","killed",0,"2017"
"66","Cameroon","Education","killed",0,"2017"
"67","Iraq / KRI","Education","killed",0,"2017"
"68","Mali","Education","killed",0,"2017"
"69","Nigeria","Education","killed",0,"2017"
"70","Nigeria","Education","killed",0,"2017"
"71","Nigeria","Education","killed",0,"2017"
"72","Pakistan","Education","killed",0,"2017"
"73","Somalia","Education","killed",0,"2017"
"74","Syria","Education","killed",0,"2017"
"75","Syria","Education","killed",0,"2017"
"76","Syria","Education","killed",0,"2017"
"77","Syria","Education","killed",0,"2017"
"78","Syria","Education","killed",0,"2017"
"79","Syria","Education","killed",0,"2017"
"80","Cameroon","Education","killed",0,"2017"
"81","Cameroon","Education","killed",0,"2017"
"82","Nigeria","Education","killed",1,"2017"
"83","Nigeria","Education","killed",0,"2017"
"84","Singapore","Education","killed",0,"2017"
"85","Syria","Education","killed",0,"2017"
"86","Syria","Education","killed",0,"2017"
"87","Syria","Education","killed",0,"2017"
"88","Syria","Education","killed",0,"2017"
"89","Syria","Education","killed",0,"2017"
"90","Syria","Education","killed",0,"2017"
"91","Syria","Education","killed",0,"2017"
"92","Syria","Education","killed",0,"2017"
"93","Syria","Education","killed",0,"2017"
"94","Turkey","Education","killed",0,"2017"
"95","DRC","Education","killed",1,"2017"
"96","DRC","Education","killed",0,"2017"
"97","Indonesia","Education","killed",0,"2017"
"98","Syria","Education","killed",0,"2017"
"99","Syria","Education","killed",0,"2017"
"100","Syria","Education","killed",0,"2017"
"101","Syria","Education","killed",0,"2017"
"102","Syria","Education","killed",0,"2017"
"103","Syria","Education","killed",0,"2017"
"104","Syria","Education","killed",0,"2017"
"105","Syria","Education","killed",0,"2017"
"106","Syria","Education","killed",0,"2017"
"107","Syria","Education","killed",0,"2017"
"108","Syria","Education","killed",0,"2017"
"109","Syria","Education","killed",0,"2017"
"110","Syria","Education","killed",0,"2017"
"111","Syria","Education","killed",0,"2017"
"112","Syria","Education","killed",0,"2017"
"113","Turkey","Education","killed",0,"2017"
"114","Cameroon","Education","killed",0,"2017"
"115","Cameroon","Education","killed",0,"2017"
"116","Chad","Education","killed",0,"2017"
"117","Indonesia","Education","killed",0,"2017"
"118","Libya","Education","killed",0,"2017"
"119","Libya","Education","killed",0,"2017"
"120","OPT","Education","killed",0,"2017"
"121","OPT","Education","killed",0,"2017"
"122","OPT","Education","killed",0,"2017"
"123","OPT","Education","killed",0,"2017"
"124","OPT","Education","killed",0,"2017"
"125","South Africa","Education","killed",0,"2017"
"126","Syria","Education","killed",0,"2017"
"127","Syria","Education","killed",0,"2017"
"128","Syria","Education","killed",0,"2017"
